	value	expression
182	58	('*', ('-', ('*', 6, 10), 2), 1)
183	58	('*', ('-', ('*', 10, 6), 2), 1)
184	57	('-', ('-', ('*', 6, 10), 2), 1)
185	57	('-', ('-', ('*', 6, 10), 1), 2)
186	57	('-', ('-', ('*', 10, 6), 2), 1)
187	57	('-', ('-', ('*', 10, 6), 1), 2)
188	57	('-', ('*', 6, 10), ('+', 2, 1))
189	57	('-', ('*', 6, 10), ('+', 1, 2))
190	57	('-', ('*', 10, 6), ('+', 2, 1))
191	57	('-', ('*', 10, 6), ('+', 1, 2))
192	57	('*', 6, ('-', 10, ('/', 1, 2)))
193	57	('*', ('-', 10, ('/', 1, 2)), 6)
194	56	('-', 2, ('*', 6, ('-', 1, 10)))
195	56	('-', 2, ('*', ('-', 1, 10), 6))
196	56	('+', 2, ('*', 6, ('-', 10, 1)))
197	56	('+', 2, ('*', ('-', 10, 1), 6))
198	56	('+', ('*', 6, ('-', 10, 1)), 2)
199	56	('+', ('*', ('-', 10, 1), 6), 2)
200	56	('*', ('-', 10, 2), ('+', 6, 1))
201	56	('*', ('-', 10, 2), ('+', 1, 6))
202	56	('*', ('+', 6, 1), ('-', 10, 2))
203	56	('*', ('+', 1, 6), ('-', 10, 2))
204	55	('*', 10, ('-', 6, ('/', 1, 2)))
205	55	('*', ('-', 6, ('/', 1, 2)), 10)
206	54	('*', 6, ('-', 10, ('-', 2, 1)))
207	54	('*', 6, ('-', 1, ('-', 2, 10)))
208	54	('*', 6, ('-', ('+', 10, 1), 2))
209	54	('*', 6, ('-', ('+', 1, 10), 2))
210	54	('*', 6, ('+', 10, ('-', 1, 2)))
211	54	('*', 6, ('+', 1, ('-', 10, 2)))
212	54	('*', 6, ('+', ('-', 10, 2), 1))
213	54	('*', 6, ('+', ('-', 1, 2), 10))
214	54	('*', ('-', 10, ('-', 2, 1)), 6)
215	54	('*', ('-', 1, ('-', 2, 10)), 6)
216	54	('*', ('-', ('+', 10, 1), 2), 6)
217	54	('*', ('-', ('+', 1, 10), 2), 6)
218	54	('*', ('+', 10, ('-', 1, 2)), 6)
219	54	('*', ('+', 1, ('-', 10, 2)), 6)
220	54	('*', ('+', ('-', 10, 2), 1), 6)
221	54	('*', ('+', ('-', 1, 2), 10), 6)
222	52	('-', 2, ('*', 10, ('-', 1, 6)))
223	52	('-', 2, ('*', ('-', 1, 6), 10))
224	52	('-', ('*', 6, ('-', 10, 1)), 2)
225	52	('-', ('*', ('-', 10, 1), 6), 2)
226	52	('+', 2, ('*', 10, ('-', 6, 1)))
227	52	('+', 2, ('*', ('-', 6, 1), 10))
228	52	('+', ('*', 10, ('-', 6, 1)), 2)
229	52	('+', ('*', ('-', 6, 1), 10), 2)
230	50	('*', 10, ('-', 6, ('-', 2, 1)))
231	50	('*', 10, ('-', 1, ('-', 2, 6)))
232	50	('*', 10, ('-', ('+', 6, 1), 2))
233	50	('*', 10, ('-', ('+', 1, 6), 2))
234	50	('*', 10, ('+', 6, ('-', 1, 2)))
235	50	('*', 10, ('+', 1, ('-', 6, 2)))
236	50	('*', 10, ('+', ('-', 6, 2), 1))
237	50	('*', 10, ('+', ('-', 1, 2), 6))
238	50	('*', ('-', 6, ('-', 2, 1)), 10)
239	50	('*', ('-', 1, ('-', 2, 6)), 10)
240	50	('*', ('-', ('+', 6, 1), 2), 10)
241	50	('*', ('-', ('+', 1, 6), 2), 10)
242	50	('*', ('+', 6, ('-', 1, 2)), 10)
243	50	('*', ('+', 1, ('-', 6, 2)), 10)
244	50	('*', ('+', ('-', 6, 2), 1), 10)
245	50	('*', ('+', ('-', 1, 2), 6), 10)
246	49	('-', 1, ('*', 6, ('-', 2, 10)))
247	49	('-', 1, ('*', ('-', 2, 10), 6))
248	49	('+', 1, ('*', 6, ('-', 10, 2)))
249	49	('+', 1, ('*', ('-', 10, 2), 6))
250	49	('+', ('*', 6, ('-', 10, 2)), 1)
251	49	('+', ('*', ('-', 10, 2), 6), 1)
252	48	('/', 6, ('/', 1, ('-', 10, 2)))
253	48	('/', ('-', 10, 2), ('/', 1, 6))
254	48	('/', ('*', 6, ('-', 10, 2)), 1)
255	48	('/', ('*', ('-', 10, 2), 6), 1)
256	48	('-', ('*', 10, ('-', 6, 1)), 2)
257	48	('-', ('*', ('-', 6, 1), 10), 2)
258	48	('*', 6, ('/', ('-', 10, 2), 1))
259	48	('*', 6, ('-', 10, ('/', 2, 1)))
260	48	('*', 6, ('-', 10, ('*', 2, 1)))
261	48	('*', 6, ('-', 10, ('*', 1, 2)))
262	48	('*', 6, ('-', ('/', 10, 1), 2))
263	48	('*', 6, ('-', ('*', 10, 1), 2))
264	48	('*', 6, ('-', ('*', 1, 10), 2))
265	48	('*', 6, ('*', 1, ('-', 10, 2)))
266	48	('*', 6, ('*', ('-', 10, 2), 1))
267	48	('*', 1, ('*', 6, ('-', 10, 2)))
268	48	('*', 1, ('*', ('-', 10, 2), 6))
269	48	('*', ('/', 6, 1), ('-', 10, 2))
270	48	('*', ('/', ('-', 10, 2), 1), 6)
271	48	('*', ('-', 10, 2), ('/', 6, 1))
272	48	('*', ('-', 10, 2), ('*', 6, 1))
273	48	('*', ('-', 10, 2), ('*', 1, 6))
274	48	('*', ('-', 10, ('/', 2, 1)), 6)
275	48	('*', ('-', 10, ('*', 2, 1)), 6)
276	48	('*', ('-', 10, ('*', 1, 2)), 6)
277	48	('*', ('-', ('/', 10, 1), 2), 6)
278	48	('*', ('-', ('*', 10, 1), 2), 6)
279	48	('*', ('-', ('*', 1, 10), 2), 6)
280	48	('*', ('+', 6, 10), ('+', 2, 1))
281	48	('*', ('+', 6, 10), ('+', 1, 2))
282	48	('*', ('+', 2, 1), ('+', 6, 10))
283	48	('*', ('+', 2, 1), ('+', 10, 6))
284	48	('*', ('+', 10, 6), ('+', 2, 1))
285	48	('*', ('+', 10, 6), ('+', 1, 2))
286	48	('*', ('+', 1, 2), ('+', 6, 10))
287	48	('*', ('+', 1, 2), ('+', 10, 6))
288	48	('*', ('*', 6, 1), ('-', 10, 2))
